0;107
1;99
2;99
3;105
4;98
5;106
6;83
7;117
8;97
9;107
10;92
11;88
12;91
13;107
14;100
15;102
16;95
17;92
18;93
19;95
20;91
21;100
22;103
23;108
24;102
25;101
26;102
27;110
28;114
29;104
30;96
31;95
32;81
33;92
34;85
35;101
36;103
37;83
38;113
39;106
40;92
41;118
42;93
43;101
44;116
45;96
46;95
47;89
48;110
49;93
50;97
51;98
52;113
53;87
54;94
55;107
56;121
57;94
58;96
59;92
60;116
61;106
62;75
63;102
64;94
65;111
66;109
67;92
68;79
69;101
70;109
71;115
72;95
73;93
74;106
75;117
76;79
77;110
78;100
79;107
80;94
81;108
82;99
83;99
84;103
85;94
86;104
87;119
88;89
89;93
90;110
91;96
92;103
93;99
94;97
95;114
96;100
97;107
98;87
99;104
