0;89
1;82
2;104
3;102
4;113
5;119
6;102
7;99
8;115
9;95
10;89
11;85
12;96
13;111
14;83
15;114
16;87
17;93
18;96
19;107
20;105
21;94
22;103
23;106
24;99
25;109
26;107
27;112
28;104
29;95
30;102
31;97
32;88
33;109
34;103
35;112
36;128
37;110
38;98
39;84
40;87
41;91
42;99
43;92
44;112
45;87
46;109
47;89
48;85
49;115
50;89
51;91
52;103
53;97
54;87
55;102
56;103
57;111
58;85
59;106
60;97
61;89
62;96
63;86
64;115
65;96
66;112
67;104
68;112
69;115
70;95
71;131
72;109
73;109
74;94
75;108
76;116
77;100
78;102
79;104
80;83
81;77
82;74
83;91
84;90
85;108
86;96
87;90
88;86
89;77
90;120
91;104
92;91
93;109
94;105
95;109
96;119
97;92
98;103
99;100
